file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList
./testing.py,1,1,1,6,2,1,0,1,1
./Repositories/advent-of-code-master/run.py,0,0,0,0,0,0,0,1,0
./Repositories/chatgpt-api-main/server.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/train_3d.py,1,0,1,1,0,2,0,0,0
./Repositories/hackingtool-master/core.py,9,1,4,0,2,1,0,0,0
./Repositories/hackingtool-master/generate_readme.py,1,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/hackingtool.py,0,0,0,0,0,0,0,3,0
./Repositories/ml-stable-diffusion-main/setup.py,0,0,0,0,0,0,0,0,0
./Repositories/natbot-main/natbot.py,20,0,2,3,0,1,0,0,1
./Repositories/voltaML-main/setup.py,0,0,0,0,0,0,0,0,0
./Repositories/WARP-UNLIMITED-ADVANCED-main/config.py,0,0,0,0,0,1,0,0,0
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp-plus.py,8,0,0,2,0,0,0,3,0
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp.py,1,0,0,1,0,0,0,0,0
./Repositories/advent-of-code-master/common/bidict.py,0,0,0,0,0,0,0,0,1
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch01_Python_Codes/Streamlit_Bk4_Ch1_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_04.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_05.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_06.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_07.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_08.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_09.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_10.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_11.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_12.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_13.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Streamlit_Bk4_Ch2_13.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Bk4_Ch3_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Bk4_Ch3_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Streamlit_Bk4_Ch3_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Streamlit_Bk4_Ch3_03.py,0,0,0,0,0,0,0,0,2
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_04.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_05.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_06.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_07.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_08.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_09.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_10.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_11.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_12.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_13.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_14.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_15.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Streamlit_Bk4_Ch4_16.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch05_Python_Codes/Bk4_Ch5_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch07_Python_Codes/Streamlit_Bk4_Ch7_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch07_Python_Codes/Streamlit_Bk4_Ch7_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Bk4_Ch8_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Bk4_Ch8_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Streamlit_Bk4_Ch8_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Streamlit_Bk4_Ch8_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch09_Python_Codes/Bk4_Ch9_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch09_Python_Codes/Bk4_Ch9_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch10_Python_Codes/Bk4_Ch10_01.py,2,0,0,0,0,1,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch10_Python_Codes/Streamlit_Bk4_Ch10_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch11_Python_Codes/Bk4_Ch11_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch11_Python_Codes/Bk4_Ch11_02.py,9,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch12_Python_Codes/Bk4_Ch12_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch12_Python_Codes/Bk4_Ch12_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Bk4_Ch13_01.py,7,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Bk4_Ch13_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Bk4_Ch13_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Streamlit_Bk4_Ch13_04.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Bk4_Ch14_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Bk4_Ch14_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Bk4_Ch14_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Streamlit_Bk4_Ch14_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Streamlit_Bk4_Ch14_04.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch15_Python_Codes/Bk4_Ch15_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch15_Python_Codes/Bk4_Ch15_02.py,6,0,0,0,0,1,0,0,1
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch16_Python_Codes/Bk4_Ch16_01.py,14,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch16_Python_Codes/Streamlit_Bk4_Ch16_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Bk4_Ch17_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Bk4_Ch17_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Bk4_Ch17_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Streamlit_Bk4_Ch17_01.py,2,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch19_Python_Codes/Bk4_Ch19_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Bk4_Ch20_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Bk4_Ch20_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Bk4_Ch20_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Streamlit_Bk4_Ch20_04.py,1,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Bk4_Ch21_01.py,0,0,1,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Bk4_Ch21_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Streamlit_Bk4_Ch21_02.py,1,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Streamlit_Bk4_Ch21_03.py,3,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch22_Python_Codes/Bk4_Ch22_01.py,1,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch24_Python_Codes/Bk4_Ch24_01.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/data/generate_tets.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/dnnlib/util.py,5,2,8,3,0,1,0,0,1
./Repositories/GET3D-master/dnnlib/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/evaluation_scripts/compute_cd.py,0,0,1,0,0,0,0,2,0
./Repositories/GET3D-master/evaluation_scripts/compute_cov_mmd.py,2,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/evaluation_scripts/compute_lfd.py,0,0,0,0,0,1,0,1,1
./Repositories/GET3D-master/evaluation_scripts/sample_surface.py,2,0,1,0,0,1,0,1,1
./Repositories/GET3D-master/metrics/equivariance.py,2,0,0,1,0,1,0,0,2
./Repositories/GET3D-master/metrics/frechet_inception_distance.py,0,0,1,0,0,0,0,0,0
./Repositories/GET3D-master/metrics/inception_score.py,0,0,1,0,0,0,0,0,0
./Repositories/GET3D-master/metrics/kernel_inception_distance.py,0,0,1,1,0,0,0,0,1
./Repositories/GET3D-master/metrics/metric_main.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/metrics/metric_utils.py,0,0,1,0,1,2,0,1,6
./Repositories/GET3D-master/metrics/perceptual_path_length.py,0,0,1,0,0,1,0,0,2
./Repositories/GET3D-master/metrics/precision_recall.py,0,0,0,0,0,0,0,0,2
./Repositories/GET3D-master/metrics/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/render_shapenet_data/render_all.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/render_shapenet_data/render_shapenet.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/torch_utils/custom_ops.py,0,0,2,0,0,1,0,2,1
./Repositories/GET3D-master/torch_utils/misc.py,0,0,1,0,0,1,0,0,2
./Repositories/GET3D-master/torch_utils/persistence.py,0,0,4,0,1,1,0,0,0
./Repositories/GET3D-master/torch_utils/training_stats.py,2,0,4,0,0,2,0,0,0
./Repositories/GET3D-master/torch_utils/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/training/dataset.py,7,0,2,0,2,2,0,3,0
./Repositories/GET3D-master/training/discriminator_architecture.py,6,0,0,1,2,4,0,1,4
./Repositories/GET3D-master/training/extract_texture_map.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/training/geometry_predictor.py,177,0,1,1,2,14,0,2,8
./Repositories/GET3D-master/training/inference_3d.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/training/inference_utils.py,15,0,0,0,0,1,0,1,2
./Repositories/GET3D-master/training/loss.py,5,0,0,0,0,1,0,5,1
./Repositories/GET3D-master/training/math_utils_torch.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/training/networks_get3d.py,24,0,1,1,0,3,0,8,2
./Repositories/GET3D-master/training/sample_camera_distribution.py,0,0,0,0,0,1,0,0,0
./Repositories/GET3D-master/training/training_loop_3d.py,0,1,0,1,0,0,0,2,0
./Repositories/GET3D-master/training/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/uni_rep/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/anonsurf.py,0,0,0,0,1,0,0,0,0
./Repositories/hackingtool-master/tools/ddos.py,0,0,0,1,0,0,0,0,0
./Repositories/hackingtool-master/tools/exploit_frameworks.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/forensic_tools.py,0,0,0,0,1,0,0,0,0
./Repositories/hackingtool-master/tools/information_gathering_tools.py,0,0,0,0,1,0,0,0,0
./Repositories/hackingtool-master/tools/other_tools.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/payload_creator.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/phising_attack.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/post_exploitation.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/remote_administration.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/reverse_engineering.py,0,0,0,0,1,0,0,0,0
./Repositories/hackingtool-master/tools/sql_tools.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/steganography.py,0,0,1,1,0,0,0,0,0
./Repositories/hackingtool-master/tools/tool_manager.py,2,0,0,0,1,0,0,0,0
./Repositories/hackingtool-master/tools/webattack.py,0,0,0,0,1,0,0,0,0
./Repositories/hackingtool-master/tools/wireless_attack_tools.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/wordlist_generator.py,0,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/tools/xss_attack.py,0,0,0,0,0,0,0,0,0
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/chunk_mlprogram.py,3,0,0,2,0,2,0,1,0
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/coreml_model.py,0,0,0,0,0,1,0,1,0
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/layer_norm.py,0,0,0,0,0,1,0,0,0
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/pipeline.py,4,0,0,0,0,1,0,4,1
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/torch2coreml.py,3,1,6,1,3,10,0,2,0
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/unet.py,70,0,0,0,1,7,0,2,3
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/_version.py,0,0,0,0,0,0,0,0,0
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/ml-stable-diffusion-main/tests/test_stable_diffusion.py,1,0,2,0,0,3,0,1,0
./Repositories/ml-stable-diffusion-main/tests/__init__.py,0,0,0,0,0,0,0,0,0
./Repositories/voltaML-main/voltaml/build_engine.py,0,0,2,0,1,2,0,1,0
./Repositories/voltaML-main/voltaml/compile.py,3,0,0,0,2,4,0,4,2
./Repositories/voltaML-main/voltaml/image_batcher.py,1,0,1,1,0,3,0,0,1
./Repositories/voltaML-main/voltaml/inference.py,16,0,2,0,0,2,0,7,5
./Repositories/voltaML-main/voltaml/optimize.py,0,1,0,0,0,0,0,0,1
./Repositories/voltaML-main/voltaml/test_voltaml_cpu.py,0,0,0,0,0,0,0,0,0
./Repositories/voltaML-main/voltaml/test_voltaml_gpu.py,0,0,0,0,0,1,0,0,0
