file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines,,repetitiveCodeLines,817,
,,,,,,,,,,,,LongClassOrMethod,208,
./Repositories/advent-of-code-master/run.py,0,0,0,0,0,0,0,1,0,54,,LongParameterList,195,
,,,,,,,,,,,,MultipleReturnStatementsInFunction,183,
./Repositories/chatgpt-api-main/server.py,0,0,0,0,0,0,0,0,0,61,,LongConditionalBlocks,150,
,,,,,,,,,,,,LongStatements,69,
./Repositories/GET3D-master/train_3d.py,1,0,1,1,0,2,0,0,0,330,,MultipleSameFunctionNames,65,
,,,,,,,,,,,,DeadCodesAfterReturn,33,
./Repositories/hackingtool-master/core.py,9,1,4,0,2,1,0,0,0,178,,LongLoopBlocks,0,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/generate_readme.py,1,0,0,0,0,0,0,0,0,52,,numberOfLines,48847,
,,,,,,,,,,,,0,>0,341
./Repositories/hackingtool-master/hackingtool.py,0,0,0,0,0,0,0,3,0,110,,1,>100,138
,,,,,,,,,,,,2,>200,68
./Repositories/ml-stable-diffusion-main/setup.py,0,0,0,0,0,0,0,0,0,36,,3,>300,41
,,,,,,,,,,,,4,>400,29
./Repositories/natbot-main/natbot.py,20,0,2,3,0,1,0,0,1,639,,5,>500,19
,,,,,,,,,,,,6,>600,12
./Repositories/voltaML-main/setup.py,0,0,0,0,0,0,0,0,0,13,,7,>700,8
,,,,,,,,,,,,8,>800,6
./Repositories/WARP-UNLIMITED-ADVANCED-main/config.py,0,0,0,0,0,1,0,0,0,143,,9,>900,6
,,,,,,,,,,,,10,>1000,4
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp-plus.py,8,0,0,2,0,0,0,3,0,172,,11,>1100,1
,,,,,,,,,,,,,,
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp.py,1,0,0,1,0,0,0,0,0,99,,,,
,,,,,,,,,,,,,,
./Repositories/advent-of-code-master/common/bidict.py,0,0,0,0,0,0,0,0,1,50,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch01_Python_Codes/Streamlit_Bk4_Ch1_01.py,0,0,0,0,0,0,0,0,0,62,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_01.py,0,0,0,0,0,0,0,0,0,30,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_02.py,0,0,0,0,0,0,0,0,0,19,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_03.py,0,0,0,0,0,0,0,0,0,36,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_04.py,0,0,0,0,0,0,0,0,0,26,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_05.py,0,0,0,0,0,0,0,0,0,17,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_06.py,0,0,0,0,0,0,0,0,0,20,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_07.py,0,0,0,0,0,0,0,0,0,19,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_08.py,0,0,0,0,0,0,0,0,0,19,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_09.py,0,0,0,0,0,0,0,0,0,22,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_10.py,0,0,0,0,0,0,0,0,0,37,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_11.py,0,0,0,0,0,0,0,0,0,24,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_12.py,0,0,0,0,0,0,0,0,0,27,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_13.py,0,0,0,0,0,0,0,0,0,40,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Streamlit_Bk4_Ch2_13.py,0,0,0,0,0,0,0,0,0,88,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Bk4_Ch3_01.py,0,0,0,0,0,0,0,0,0,52,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Bk4_Ch3_02.py,0,0,0,0,0,0,0,0,0,53,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Streamlit_Bk4_Ch3_01.py,0,0,0,0,0,0,0,0,0,55,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Streamlit_Bk4_Ch3_03.py,0,0,0,0,0,0,0,0,2,156,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_01.py,0,0,0,0,0,0,0,0,0,41,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_02.py,0,0,0,0,0,0,0,0,0,21,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_03.py,0,0,0,0,0,0,0,0,0,24,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_04.py,0,0,0,0,0,0,0,0,0,19,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_05.py,0,0,0,0,0,0,0,0,0,41,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_06.py,0,0,0,0,0,0,0,0,0,21,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_07.py,0,0,0,0,0,0,0,0,0,32,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_08.py,0,0,0,0,0,0,0,0,0,20,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_09.py,0,0,0,0,0,0,0,0,0,21,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_10.py,0,0,0,0,0,0,0,0,0,19,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_11.py,0,0,0,0,0,0,0,0,0,17,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_12.py,0,0,0,0,0,0,0,0,0,21,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_13.py,0,0,0,0,0,0,0,0,0,17,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_14.py,0,0,0,0,0,0,0,0,0,21,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_15.py,0,0,0,0,0,0,0,0,0,16,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Streamlit_Bk4_Ch4_16.py,0,0,0,0,0,0,0,0,0,129,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch05_Python_Codes/Bk4_Ch5_01.py,0,0,0,0,0,0,0,0,0,100,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_01.py,0,0,0,0,0,0,0,0,0,33,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_02.py,0,0,0,0,0,0,0,0,0,54,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_03.py,0,0,0,0,0,0,0,0,0,50,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch07_Python_Codes/Streamlit_Bk4_Ch7_01.py,0,0,0,0,0,0,0,0,0,116,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch07_Python_Codes/Streamlit_Bk4_Ch7_02.py,0,0,0,0,0,0,0,0,0,61,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Bk4_Ch8_01.py,0,0,0,0,0,0,0,0,0,73,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Bk4_Ch8_02.py,0,0,0,0,0,0,0,0,0,68,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Streamlit_Bk4_Ch8_02.py,0,0,0,0,0,0,0,0,0,118,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Streamlit_Bk4_Ch8_03.py,0,0,0,0,0,0,0,0,0,132,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch09_Python_Codes/Bk4_Ch9_01.py,0,0,0,0,0,0,0,0,0,36,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch09_Python_Codes/Bk4_Ch9_02.py,0,0,0,0,0,0,0,0,0,69,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch10_Python_Codes/Bk4_Ch10_01.py,2,0,0,0,0,1,0,0,0,184,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch10_Python_Codes/Streamlit_Bk4_Ch10_01.py,0,0,0,0,0,0,0,0,0,131,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch11_Python_Codes/Bk4_Ch11_01.py,0,0,0,0,0,0,0,0,0,63,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch11_Python_Codes/Bk4_Ch11_02.py,9,0,0,0,0,0,0,0,0,143,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch12_Python_Codes/Bk4_Ch12_01.py,0,0,0,0,0,0,0,0,0,54,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch12_Python_Codes/Bk4_Ch12_02.py,0,0,0,0,0,0,0,0,0,56,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Bk4_Ch13_01.py,7,0,0,0,0,0,0,0,0,89,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Bk4_Ch13_02.py,0,0,0,0,0,0,0,0,0,96,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Bk4_Ch13_03.py,0,0,0,0,0,0,0,0,0,70,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch13_Python_Codes/Streamlit_Bk4_Ch13_04.py,0,0,0,0,0,0,0,0,0,90,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Bk4_Ch14_01.py,0,0,0,0,0,0,0,0,0,22,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Bk4_Ch14_02.py,0,0,0,0,0,0,0,0,0,53,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Bk4_Ch14_03.py,0,0,0,0,0,0,0,0,0,106,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Streamlit_Bk4_Ch14_02.py,0,0,0,0,0,0,0,0,0,54,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch14_Python_Codes/Streamlit_Bk4_Ch14_04.py,0,0,0,0,0,0,0,0,0,119,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch15_Python_Codes/Bk4_Ch15_01.py,0,0,0,0,0,0,0,0,0,108,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch15_Python_Codes/Bk4_Ch15_02.py,6,0,0,0,0,1,0,0,1,225,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch16_Python_Codes/Bk4_Ch16_01.py,14,0,0,0,0,0,0,0,0,341,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch16_Python_Codes/Streamlit_Bk4_Ch16_01.py,0,0,0,0,0,0,0,0,0,87,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Bk4_Ch17_01.py,0,0,0,0,0,0,0,0,0,78,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Bk4_Ch17_02.py,0,0,0,0,0,0,0,0,0,75,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Bk4_Ch17_03.py,0,0,0,0,0,0,0,0,0,89,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch17_Python_Codes/Streamlit_Bk4_Ch17_01.py,2,0,0,0,0,0,0,0,0,85,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch19_Python_Codes/Bk4_Ch19_01.py,0,0,0,0,0,0,0,0,0,78,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Bk4_Ch20_01.py,0,0,0,0,0,0,0,0,0,97,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Bk4_Ch20_02.py,0,0,0,0,0,0,0,0,0,56,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Bk4_Ch20_03.py,0,0,0,0,0,0,0,0,0,50,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch20_Python_Codes/Streamlit_Bk4_Ch20_04.py,1,0,0,0,0,0,0,0,0,132,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Bk4_Ch21_01.py,0,0,1,0,0,0,0,0,0,26,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Bk4_Ch21_02.py,0,0,0,0,0,0,0,0,0,100,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Streamlit_Bk4_Ch21_02.py,1,0,0,0,0,0,0,0,0,110,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch21_Python_Codes/Streamlit_Bk4_Ch21_03.py,3,0,0,0,0,0,0,0,0,117,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch22_Python_Codes/Bk4_Ch22_01.py,1,0,0,0,0,0,0,0,0,153,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch24_Python_Codes/Bk4_Ch24_01.py,0,0,0,0,0,0,0,0,0,147,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/data/generate_tets.py,0,0,0,0,0,0,0,0,0,69,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/dnnlib/util.py,5,2,8,3,0,1,0,0,1,494,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/dnnlib/__init__.py,0,0,0,0,0,0,0,0,0,9,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/evaluation_scripts/compute_cd.py,0,0,1,0,0,0,0,2,0,137,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/evaluation_scripts/compute_cov_mmd.py,2,0,0,0,0,0,0,0,0,57,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/evaluation_scripts/compute_lfd.py,0,0,0,0,0,1,0,1,1,109,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/evaluation_scripts/sample_surface.py,2,0,1,0,0,1,0,1,1,318,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/equivariance.py,2,0,0,1,0,1,0,0,2,278,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/frechet_inception_distance.py,0,0,1,0,0,0,0,0,0,46,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/inception_score.py,0,0,1,0,0,0,0,0,0,39,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/kernel_inception_distance.py,0,0,1,1,0,0,0,0,1,47,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/metric_main.py,0,0,0,0,0,0,0,0,0,169,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/metric_utils.py,0,0,1,0,1,2,0,1,6,319,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/perceptual_path_length.py,0,0,1,0,0,1,0,0,2,128,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/precision_recall.py,0,0,0,0,0,0,0,0,2,64,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/metrics/__init__.py,0,0,0,0,0,0,0,0,0,9,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/render_shapenet_data/render_all.py,0,0,0,0,0,0,0,0,0,44,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/render_shapenet_data/render_shapenet.py,0,0,0,0,0,0,0,0,0,281,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/torch_utils/custom_ops.py,0,0,2,0,0,1,0,2,1,162,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/torch_utils/misc.py,0,0,1,0,0,1,0,0,2,313,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/torch_utils/persistence.py,0,0,4,0,1,1,0,0,0,261,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/torch_utils/training_stats.py,2,0,4,0,0,2,0,0,0,275,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/torch_utils/__init__.py,0,0,0,0,0,0,0,0,0,10,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/dataset.py,7,0,2,0,2,2,0,3,0,334,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/discriminator_architecture.py,6,0,0,1,2,4,0,1,4,667,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/extract_texture_map.py,0,0,0,0,0,0,0,0,0,40,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/geometry_predictor.py,177,0,1,1,2,14,0,2,8,1587,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/inference_3d.py,0,0,0,0,0,0,0,0,0,116,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/inference_utils.py,15,0,0,0,0,1,0,1,2,302,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/loss.py,5,0,0,0,0,1,0,5,1,236,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/math_utils_torch.py,0,0,0,0,0,0,0,0,0,35,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/networks_get3d.py,24,0,1,1,0,3,0,8,2,737,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/sample_camera_distribution.py,0,0,0,0,0,1,0,0,0,185,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/training_loop_3d.py,0,1,0,1,0,0,0,2,0,454,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/training/__init__.py,0,0,0,0,0,0,0,0,0,7,,,,
,,,,,,,,,,,,,,
./Repositories/GET3D-master/uni_rep/__init__.py,0,0,0,0,0,0,0,0,0,7,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/anonsurf.py,0,0,0,0,1,0,0,0,0,46,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/ddos.py,0,0,0,1,0,0,0,0,0,100,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/exploit_frameworks.py,0,0,0,0,0,0,0,0,0,55,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/forensic_tools.py,0,0,0,0,1,0,0,0,0,91,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/information_gathering_tools.py,0,0,0,0,1,0,0,0,0,222,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/other_tools.py,0,0,0,0,0,0,0,0,0,46,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/payload_creator.py,0,0,0,0,0,0,0,0,0,141,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/phising_attack.py,0,0,0,0,0,0,0,0,0,218,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/post_exploitation.py,0,0,0,0,0,0,0,0,0,44,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/remote_administration.py,0,0,0,0,0,0,0,0,0,36,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/reverse_engineering.py,0,0,0,0,1,0,0,0,0,56,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/sql_tools.py,0,0,0,0,0,0,0,0,0,114,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/steganography.py,0,0,1,1,0,0,0,0,0,85,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/tool_manager.py,2,0,0,0,1,0,0,0,0,66,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/webattack.py,0,0,0,0,1,0,0,0,0,112,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/wireless_attack_tools.py,0,0,0,0,0,0,0,0,0,153,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/wordlist_generator.py,0,0,0,0,0,0,0,0,0,57,,,,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/tools/xss_attack.py,0,0,0,0,0,0,0,0,0,146,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/chunk_mlprogram.py,3,0,0,2,0,2,0,1,0,337,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/coreml_model.py,0,0,0,0,0,1,0,1,0,102,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/layer_norm.py,0,0,0,0,0,1,0,0,0,80,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/pipeline.py,4,0,0,0,0,1,0,4,1,534,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/torch2coreml.py,3,1,6,1,3,10,0,2,0,926,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/unet.py,70,0,0,0,1,7,0,2,3,1083,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/_version.py,0,0,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/python_coreml_stable_diffusion/__init__.py,0,0,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/tests/test_stable_diffusion.py,1,0,2,0,0,3,0,1,0,410,,,,
,,,,,,,,,,,,,,
./Repositories/ml-stable-diffusion-main/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/build_engine.py,0,0,2,0,1,2,0,1,0,249,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/compile.py,3,0,0,0,2,4,0,4,2,545,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/image_batcher.py,1,0,1,1,0,3,0,0,1,176,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/inference.py,16,0,2,0,0,2,0,7,5,759,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/optimize.py,0,1,0,0,0,0,0,0,1,69,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/test_voltaml_cpu.py,0,0,0,0,0,0,0,0,0,36,,,,
,,,,,,,,,,,,,,
./Repositories/voltaML-main/voltaml/test_voltaml_gpu.py,0,0,0,0,0,1,0,0,0,92,,,,
,,,,,,,,,,,,,,
